"Object","Close-Approach (CA) Date","CA DistanceNominal (au)","CA DistanceMinimum (au)","V relative(km/s)","V infinity(km/s)","H(mag)","Diameter","Rarity"
"(2023 HB7)","2024-Aug-05 03:42 ±    00:01","0.03756","0.03756","6.07","6.06","25.3","24 m -   53 m","0"
"(2017 TU1)","2024-Aug-05 13:54 ±    17:03","0.02578","0.01530","10.05","10.04","26.0","17 m -   38 m","0"
"(2024 PE)","2024-Aug-06 03:01 ± < 00:01","0.01212","0.01198","16.17","16.15","25.6","20 m -   45 m","0"
"(2024 OF2)","2024-Aug-06 12:33 ± < 00:01","0.02626","0.02606","12.14","12.13","24.5","33 m -   74 m","0"
"(2024 OR1)","2024-Aug-06 13:11 ± < 00:01","0.02286","0.02272","8.44","8.42","25.1","26 m -   58 m","0"
"(2024 OM1)","2024-Aug-06 21:40 ± < 00:01","0.00935","0.00934","12.21","12.19","24.2","38 m -   85 m","1"
"(2024 KH3)","2024-Aug-10 15:13 ± < 00:01","0.03728","0.03727","11.42","11.42","21.3","140 m -  320 m","1"
"(2024 ON2)","2024-Aug-12 06:50 ±    00:04","0.04546","0.04413","14.10","14.10","24.9","28 m -   63 m","0"
"(2021 GY1)","2024-Aug-16 10:32 ± < 00:01","0.04519","0.04518","6.32","6.31","23.9","44 m -   98 m","0"
"(2024 OY2)","2024-Aug-17 06:57 ±    00:35","0.01102","0.01089","5.74","5.69","25.2","25 m -   55 m","0"
"(2024 JV33)","2024-Aug-19 10:06 ±    00:04","0.03068","0.03068","11.08","11.07","21.2","150 m -  340 m","1"
"(2020 RL)","2024-Aug-27 00:55 ± 1_08:36","0.03129","0.02241","8.22","8.21","25.1","25 m -   57 m","0"
"(2021 RA10)","2024-Aug-28 19:17 ± 9_19:36","0.01745","0.00782","4.86","4.83","25.4","22 m -   49 m","0"
"(2012 SX49)","2024-Aug-29 20:20 ± 4_01:41","0.02865","0.02081","4.28","4.26","26.2","15 m -   34 m","0"
"(2016 RJ20)","2024-Aug-30 22:12 ±    00:02","0.04674","0.04666","14.78","14.78","23.6","51 m -  110 m","0"
"(2021 JT)","2024-Sep-01 18:17 ± 4_11:53","0.04186","0.03815","8.20","8.19","27.3","9.0 m -   20 m","0"
"(2021 RB16)","2024-Sep-02 00:18 ± 4_03:40","0.03150","0.02879","8.37","8.36","26.9","11 m -   25 m","0"
"(2007 RX8)","2024-Sep-02 10:23 ± 2_09:14","0.04731","0.02277","6.98","6.98","24.5","33 m -   74 m","0"
"(2022 SR)","2024-Sep-07 12:10 ± 3_01:22","0.02319","0.01358","6.34","6.33","24.6","32 m -   70 m","0"
"(2023 SP2)","2024-Sep-09 14:50 ±    03:40","0.03916","0.03497","4.17","4.16","28.2","6.0 m -   13 m","0"
"(2016 TU19)","2024-Sep-11 14:00 ±    13:46","0.03389","0.01742","10.06","10.05","24.4","35 m -   78 m","0"
"(2019 DJ1)","2024-Sep-15 22:23 ± < 00:01","0.02672","0.02669","4.86","4.84","26.8","12 m -   26 m","0"
"(2024 ON)","2024-Sep-17 11:53 ±    06:46","0.00674","0.00650","8.88","8.84","20.3","230 m -  520 m","3"
"(2013 FW13)","2024-Sep-18 06:29 ± < 00:01","0.02172","0.02172","15.56","15.55","21.7","120 m -  270 m","1"
"(2022 SW3)","2024-Sep-19 02:24 ±    10:56","0.01747","0.01358","9.20","9.19","24.9","28 m -   62 m","0"
"(2015 SH)","2024-Sep-19 12:31 ± 4_07:03","0.02974","0.00429","5.87","5.86","28.1","6.4 m -   14 m","0"
"(2023 RX1)","2024-Sep-20 18:21 ±    08:20","0.02597","0.02580","1.11","1.02","30.3","2.4 m -  5.3 m","0"
"(2018 VG)","2024-Sep-20 23:43 ± 1_11:28","0.03429","0.03355","7.26","7.25","27.4","8.8 m -   20 m","0"
"(2020 GE)","2024-Sep-24 04:52 ± < 00:01","0.00441","0.00441","2.22","1.93","28.2","6.2 m -   14 m","0"
"(2011 ST12)","2024-Sep-27 06:15 ± 9_16:43","0.04501","0.02692","7.40","7.40","26.4","14 m -   31 m","0"